Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;228926,234375;66216,52421875;438,102;25,00996;12;369,9285;False
2;201739,46875;64654,1740234375;401,2261;24,21478;14;407,571;False
3;124477,6171875;57844,7390625;289,345;17,53672;14;407,571;False
4;127117,140625;65461,2908203125;291,3274;23,60474;12;422,4547;False
5;134588,21875;67327,2573242188;313,8042;24,44553;11;361,1516;False
6;128002,7265625;60340,029296875;295,5387;16,71745;14;406,5959;False
7;181920,4375;64365,4431640625;373,8876;21,0697;13;421,2852;False
8;291626,625;101303,19921875;498,6875;25,41464;14;429,3745;False
9;286275,4375;109518,551757813;493,293;25,50024;14;429,3745;False
10;342146,4375;124419,866796875;547;22,23941;14;429,3745;True
11;342146,4375;115290,118359375;547;23,46222;14;429,3745;True
12;258021,265625;119399,718359375;463,7713;23,33289;14;429,3745;False
13;288009,625;100161,775976562;497,228;28,87372;14;407,7399;False
14;342337,9375;129672,206054688;547;22,31281;14;431,2893;True
15;260783,546875;138912,779882812;466,6929;22,36005;14;429,8125;False
16;342683,96875;193272,306640625;547;21,9115;14;434,7497;True
17;342683,96875;151098,058007813;547;21,05243;14;434,7497;True
18;323974,03125;147729,542773438;532,1024;26,12482;14;408,4106;False
19;342518,125;140981,155664063;547;20,30981;14;433,0911;True
20;262651,375;138674,786914063;468,1045;21,9342;14;435,2957;False
21;293522,75;143652,76171875;500,2678;37,50305;14;432,5489;False
22;340057,375;139741,272460938;547;21,66541;14;408,4837;True
23;339990,53125;165912,67890625;547;20,6095;14;407,8155;True
24;262166,5;103012,726171875;468,3218;25,52771;14;428,4121;False
25;339989,84375;129676,111523438;547;22,63123;14;407,8083;True
