Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;271987776;68565135,9;267,218;17,92129;10;380,6946;False
2;387450848;102304610,7;348,3244;24,79922;10;380,6946;False
3;483727488;140800036,9;405,0471;19,61296;11;379,9479;False
4;424049184;113693307,6;371,3383;25,43858;11;379,9479;False
5;796999296;231449358,6;547;22,81465;11;380,1556;True
6;740376000;235082588,2;547;24,78438;10;357,6574;True
7;950661312;219290018,6;547;22,67365;11;436,2756;True
8;948791488;331546938;547;21,09018;11;435,6306;True
9;730736384;314677004;465,162;26,76804;11;435,552;False
10;949336000;403210215,6;547;19,85233;11;435,8185;True
11;946461440;394519629,2;547;20,17023;11;434,8255;True
12;946215232;488596318;547;25,45389;11;434,7403;True
13;882773568;461452812;523,6593;26,1554;11;435,6303;False
14;946458944;507899130;547;21,41119;12;434,8246;True
15;948660864;555961299,6;547;25,49823;11;435,5854;True
16;899439040;457861581,6;526,7695;23,09833;11;438,5192;False
17;957183744;537929036,4;547;24,36737;11;438,5192;True
18;957183744;481500578;547;23,63745;11;438,5192;True
19;957183744;586021244,8;547;21,86517;11;438,5192;True
20;957183744;500730893,2;547;21,32336;11;438,5192;True
21;953638912;482582433,6;547;24,3739;11;437,3011;True
22;955211200;635237481,6;547;26,37177;11;437,8418;True
23;950540224;575936740,4;547;23,5592;11;436,2339;True
24;887768192;534563481,6;523,3178;27,01453;11;437,7776;False
25;961752960;445600970;547;25,17004;11;440,0849;True
26;961752960;478839783,2;547;22,60303;11;440,0849;True
27;957646720;475610694;547;20,3678;11;438,6781;True
28;958019264;516260727,2;547;21,76074;12;438,8059;True
29;962766848;583143284;547;21,14258;11;440,4316;True
30;945605824;453708585,2;547;21,41333;11;434,5295;True
