Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;308,529663085938;31,3196747555441;316,176;20,43789;12;330,9206;False
2;690,609130859375;171,427273316112;264,0953;13,05037;12;330,9206;False
3;711,189880371094;175,237338863461;406,1596;19,87503;12;331,5541;False
4;706,7060546875;229,912487983704;438,0284;22,82562;10;297,1869;False
5;521,243530273438;194,323360672407;268,3604;15,47765;10;297,1869;False
6;805,257934570313;293,72231728115;434,2706;21,66617;10;297,1869;False
7;731,335754394531;239,135009680783;496,5981;25,58386;10;297,6223;False
8;829,3046875;332,301099519385;499,4476;23,90311;11;318,0044;False
9;799,312744140625;295,365390209109;375,1028;18,17386;11;306,7594;False
10;965,595092773438;278,154470825195;434,1144;19,74884;11;308,2484;False
11;709,029479980469;285,245914268494;375,6915;19,55585;10;304,2962;False
12;642,517700195313;221,067688173056;237,2364;12,362;11;297,5247;False
13;1253,05493164063;259,779127979279;466,364;20,07867;10;277,2161;False
14;2594,13159179688;392,566478633881;547;21,73431;10;277,2161;True
15;2440,7021484375;538,942626783997;547;22,47998;10;277,2161;True
16;1030,12731933594;487,709914016724;432,3732;19,8714;10;294,8406;False
17;1333,01477050781;514,603178787231;495,442;20,89526;10;276,9904;False
18;2906,67309570313;728,143743133545;547;20,47522;10;278,195;True
19;2665,41772460938;650,564734268188;547;21,41968;10;278,9893;True
20;2858,00219726563;602,25625;547;20,65247;10;277,8103;True
21;2513,61962890625;634,184714508057;547;22,11304;10;295,525;True
22;1092,2802734375;520,495948791504;349,767;15,76404;10;276,3144;False
23;807,248291015625;369,042956697941;373,4233;18,61511;10;280,9823;False
24;1614,3759765625;595,581490471237;495,9139;19,00818;11;278,6676;False
