Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;4935069990912;1178953171695,2;374,1269;24,43604;12;327,9078;False
2;8147355303936;3107803149055,35;405,3048;25,30406;13;367,4101;False
3;8414046453760;1609773508372;378,8618;20,82755;14;388,4613;False
4;9813534703616;3700299960242,8;375,7334;31,6122;14;411,1705;False
5;10192042328064;3767633436313,6;382,9108;25,15714;14;411,1705;False
6;11158580887552;4215077334835,2;402,1534;21,10983;14;410,1492;False
7;7479347904512;4328119665645;375,6311;21,93866;13;375,6472;False
8;20644299276288;5099969586672;547;28,21378;14;410,1492;True
9;13195135680512;5749432532736;436,1806;29,1835;14;410,8599;False
10;13404796354560;5341652396826,6;439,6322;27,04742;14;410,8599;False
11;21036980502528;6716844617190,4;547;23,51712;14;412,7334;True
12;24411721695232;10004963301785,6;547;23,09705;14;433,7185;True
13;24411721695232;7589578533611,2;547;23,9433;14;433,7185;True
14;20185381601280;8680599230873,6;498,8045;27,60059;14;432,9045;False
15;25016223662080;8890041140858,18;547;24,70447;14;437,2693;True
16;18336654032896;8433282071180,8;463,5822;28,41986;14;440,2394;False
17;24458850992128;7222240350725,6;547;22,56494;14;433,9974;True
18;19908406542336;9993927254016;493,5005;29,82562;14;433,9974;False
19;24451624206336;10411942403975,5;547;20,92761;14;433,9547;True
20;22753801404416;9991623118028,8;524,2047;26,97534;14;435,8637;False
21;23397648039936;8887305285427,2;529,9235;29,29535;14;436,7658;False
22;24541648650240;8652858226230,4;547;25,12872;14;434,4866;True
23;17456494018560;6554438885683,2;462,8454;24,35138;14;433,5392;False
24;22859856478208;8220804027857,2;529,986;26,57288;14;433,3594;False
25;22045423304704;8748807661292,8;528,2877;23,38647;13;429,0677;False
26;17425702584320;7616223926848;463,4072;24,11707;13;432,9339;False
27;22397327507456;10339897075302,4;527,5112;25,573;13;431,7618;False
28;30704857513984;10638893803110,4;614,2926;25,39099;14;433,3301;False
29;23718631833600;9260140913687,2;547;20,9967;13;429,5743;True
30;23693325500416;10738666056294,4;547;26,55212;13;429,4215;True
