Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;3013,419921875;575,415210513026;62,24466;18;14;351,8012;False
2;3046,78930664063;940,509797338769;52,99635;12,90558;14;351,7522;False
3;4677,28662109375;1602,6794406685;78,98064;17,33767;13;355,9242;False
4;3729,40454101563;1483,36059538834;52,88718;10,5;14;351,9029;False
5;5740,35205078125;2236,20334594846;82,25214;16,5;14;396,3077;False
6;7642,3681640625;2145,0402162075;79,26973;11,51105;14;352,6797;False
7;9917,0869140625;2391,54261932373;138,2961;27;14;351,0157;False
8;6453,24658203125;2514,07128738537;96,62096;20,25314;14;351,0157;False
9;6756,9609375;2718,44672124386;95,29655;18,81616;14;351,3662;False
10;9389,9931640625;3308,87000694275;107,6607;17,28134;14;350,5002;False
11;4670,33154296875;2457,92305612564;61,36191;11,28699;14;351,2488;False
12;5285,08056640625;2808,66296234131;80,87314;17,32547;14;349,8871;False
13;5767,197265625;3267,91370363235;68,1715;11,28156;14;350,8289;False
14;7262,1396484375;2616,52314505577;82,57352;13,14453;14;349,8871;False
15;10274,6171875;4396,71962890625;126,019;21,63885;14;352,0591;False
16;6397,24365234375;2603,23626286983;75,57661;12,5;14;350,824;False
17;4277,52392578125;2298,6853307724;67,90899;15,09351;14;353,8499;False
18;6093,0322265625;2528,92625594139;78,28012;14,07983;14;353,8499;False
19;9097,6396484375;3886,07331390381;97,32183;14,57538;14;349,4146;False
20;8474,8779296875;2818,13186578155;126,1698;26,29694;14;348,4391;False
21;6622,66455078125;2381,83143835068;97,44994;20,07513;14;349,5098;False
22;6931,63916015625;2129,11652870178;81,75623;13,5;14;351,7067;False
23;9998,384765625;3694,31528930664;110,487;17,09308;14;351,7067;False
24;8495,091796875;2893,2450797081;90,77888;13,58093;14;351,7067;False
25;8973,70703125;3411,03382968903;96,44901;14,51282;14;352,2706;False
26;8295,8779296875;3653,71618041992;90,21392;13,7345;14;352,2706;False
27;8633,599609375;2618,89328079224;96,42015;15,0755;14;352,4962;False
28;6570,40234375;3639,18716506958;95,32986;19,36395;14;353,1481;False
29;7353,3544921875;3672,86573829651;76,48775;11,13849;14;353,1481;False
30;8495,947265625;3580,49292469025;95,79797;15,12268;14;355,6833;False
31;7175,234375;3051,16262321472;79,03867;12,18909;14;354,2414;False
32;6577,8671875;3323,11514358521;84,16322;15,07605;14;355,2968;False
33;4920,17578125;2272,31525206566;66,64227;12,63708;14;354,519;False
34;6023,41650390625;2478,28627026528;82,03094;15,64014;14;354,519;False
35;9972,3759765625;4854,31791992187;126,775;22,56299;14;352,0891;False
36;7309,75439453125;3317,03650360107;82,88993;13,15918;14;350,4542;False
37;8772,748046875;4195,92978515625;93,01184;13,80603;14;352,2297;False
38;6655,275390625;3855,68152084351;81,20057;13,87012;14;350,4542;False
39;7464,87744140625;3743,44766540527;81,73509;12,52917;14;352,3517;False
40;7654,5634765625;3604,02681088448;91,71709;15,38538;14;356,675;False
41;11108,2431640625;3969,56721611023;96,92507;11,84009;14;356,3242;False
42;7857,9208984375;3733,85713424683;96,51695;16,59692;14;351,5215;False
43;8453,537109375;3815,74361977577;110,2861;20,14331;14;355,368;False
44;6542,40185546875;3013,80772323608;81,40604;14,18091;14;353,5837;False
45;9788,083984375;3755,17403106689;113,4159;18,39832;14;356,4202;False
46;10058,8662109375;3512,68771653175;98,36948;13,4679;14;354,5226;False
47;8466,98046875;2797,13781471252;111,5566;20,57739;14;353,7923;False
48;4944,7001953125;2144,68875198364;67,17081;12,77466;14;351,2281;False
49;12467,62890625;3780,00945968628;141,5;22,48315;14;349,6143;False
50;7324,638671875;3487,41822519302;95,47379;17,42249;14;350,0607;False
