Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;466,153533935547;324,070620727539;547;24,56234;14;466,1535;True
2;466,153533935547;342,217873382568;288,1244;20,13133;14;466,1535;False
3;476,172485351563;349,174799346924;78,41344;9,542446;13;476,1725;False
4;498,371551513672;391,190653991699;189,4668;17,72945;13;498,3716;False
5;499,564056396484;409,757583618164;238,5145;40,56544;14;499,5641;False
6;499,564056396484;440,98175201416;125,1881;20,18846;14;499,5641;False
7;499,960266113281;453,777590942383;87,63511;14,60381;14;499,9603;False
8;512,160400390625;473,050323486328;321,0876;25,59998;14;512,1604;False
9;519,579040527344;482,678469848633;100,9534;11,4321;13;519,579;False
