Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;18735,2421875;4932,42903232873;931,1099;46,27459;12;359,3043;False
2;19432,26953125;13010,18253479;1076,167;59,59853;11;289,9716;False
3;41744,734375;10993,1045955598;1750;96,47269;11;289,9716;True
4;19256,599609375;9115,45156833939;930,4241;44,95544;11;289,9716;False
5;42996,34765625;13560,5635692418;1750;92,81329;11;289,9716;True
6;41874,08984375;19298,1005109787;1750;96,08118;11;289,9716;True
7;41035,640625;13918,4292190969;1750;98,67688;11;289,9716;True
8;43458,09375;12705,8560405924;1750;91,53241;11;290,7564;True
9;41552,58984375;16657,6882223129;1750;97,06018;11;290,7183;True
10;30517,697265625;10872,5244927704;1596,487;83,51782;11;290,7183;False
11;43319,83203125;16607,0267035186;1750;91,91223;11;290,2042;True
12;43302,93359375;19987,0310256839;1750;91,95886;11;288,7256;True
13;42847,109375;21330,2989364803;1750;93,23499;11;289,7558;True
14;41377,4921875;23724,5588867188;1750;97,60181;11;288,7256;True
15;44687,00390625;24437,9481323242;1750;88,28955;11;288,3127;True
16;43336,34375;20677,9203337237;1750;91,8667;11;289,2382;True
17;42473,515625;22716,6149247885;1750;94,30762;10;289,4892;True
18;42568,02734375;20704,6477050781;1750;94,03394;10;287,1243;True
19;43227,9921875;20232,0060218103;1750;92,16626;12;290,3619;True
20;43947,84375;23753,4695910513;1750;90,21191;10;286,1427;True
21;40917,94921875;20987,6568939284;1750;99,05249;10;286,1427;True
22;43594,26953125;18927,0144122437;1750;91,16138;10;289,0204;True
23;43577,2734375;23591,5059082031;1750;91,20752;10;289,0204;True
24;30041,3828125;20122,2724437237;1727,884;99,38232;10;289,0204;False
25;42477,97265625;20825,6831542969;1750;94,29468;10;289,0204;True
26;25630,431640625;18385,5559143066;1454,618;82,55469;11;286,736;False
27;41530,5;22138,5420288436;1750;97,12817;10;282,3335;True
28;41821,328125;20249,7574012183;1750;96,24048;10;284,4264;True
29;43548,8984375;21161,7473980412;1750;91,28467;10;284,4264;True
30;44368,62890625;22351,9952877358;1750;89,10742;10;284,4264;True
