Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;99210112;44388355,1;213,1651;21,92257;14;447,3491;False
2;120051664;57111454,1;379,8167;19,84145;13;402,606;False
3;131423872;64877848,4;434,1078;28,3006;14;367,4587;False
4;106904984;70048404,6;346,2844;19,33826;13;402,8567;False
5;128156920;79468413;402,0525;29,37083;12;398,2563;False
6;122739712;72060685,6;214,824;24,55466;14;483,2101;False
7;121422464;80754997,8;204,8541;16,7816;14;483,2101;False
8;126567344;92837480,6;239,5223;16,68707;14;483,2101;False
9;130080240;98826001,6;266,052;16,24878;14;480,9474;False
10;136184192;101318986;292,1524;19,80466;14;480,9474;False
11;141672032;106321414,8;351,1074;22,89224;13;461,6525;False
12;212203584;113002835,6;460,3558;24,27185;14;485,7886;False
13;146546352;106079927,2;317,1651;21,69348;14;485,7886;False
14;133551920;108506467,6;266,4199;17,83246;14;485,7886;False
