Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;25814322118656;1667910778416,6;78,37405;9,999999;12;409,0005;False
2;12934226903040;3445785571020,97;79,45135;14,49188;12;408,5027;False
3;13011009929216;2042914124928;71,17233;11,61589;12;409,0005;False
4;9161783902208;3238266733363,2;92,37729;23,26163;13;408,3192;False
5;13187323789312;4078828534097,2;76,47234;13,42442;13;411,1278;False
6;13854359683072;3931556340345,6;68,24673;10,39442;12;410,16;False
7;7548236201984;2905404115353,6;75,91932;17,25972;12;407,5378;False
8;8108793397248;1957126958899,2;89,82932;23,43246;13;408,9214;False
9;18817870725120;2411718132842,88;106,9483;21,68594;12;407,4527;False
10;29664309411840;3038498158986,98;77,94862;9,175201;12;407,4527;False
11;16271351480320;4800209508864;77,19186;12,09937;12;406,3382;False
12;11590759874560;4149399658700,8;72,18329;12,53571;12;406,3382;False
13;30425474924544;6816881685771,58;110,6942;18,28806;12;407,7158;False
14;15168004161536;4907513295539,2;62,06311;8,142151;12;407,7158;False
15;19386716913664;4169728171379,2;92,38237;15,95221;12;407,6272;False
16;26582691348480;5472796600422,4;94,24545;13,98871;10;403,9902;False
17;34217379495936;7226374812467,2;122,6073;21,22382;12;408,5791;False
18;38637957808128;4909912464409,6;94,52078;11,8703;12;408,5791;False
19;37048018796544;9231366595788,8;79,4496;8,564758;12;408,5791;False
20;37329519509504;8597524038348,8;105,9882;15,18848;12;408,649;False
21;33153519452160;6822649217024;79,95287;9,174561;12;408,747;False
22;16680885420032;6572014727168;71,1003;10,22858;12;408,747;False
23;13954488205312;4491719013478,4;83,08141;15,26978;12;408,747;False
24;44513531789312;6912120910643,2;124,3209;19,14362;12;408,747;False
25;18856772894720;3825223353136;76,36744;11,08868;12;408,5057;False
26;10630695223296;3916630811389,86;77,17053;15,08063;12;408,5057;False
27;27338467180544;7596320541900,8;109,8938;19,07025;12;408,5057;False
28;29962006429696;6181767732174,74;107,6439;17,4967;12;408,7978;False
29;32274292670464;8644323304243,2;124,3064;22,22424;12;405,6755;False
30;8455549616128;2733572665734,4;76,82513;16,82104;12;409,5229;False
