Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;-27,7632541656494;-240,711085224152;244,7926;19,17619;12;285,3213;False
2;-78,6755218505859;-254,366856765747;192,0446;13,15263;12;285,3213;False
3;-28,6445770263672;-250,093590545654;347,2123;21,7554;14;391,8167;False
4;75,0761413574219;-261,524683761597;346,814;25,53213;12;285,3213;False
5;78,316780090332;-257,222973251343;405,6126;25,88181;13;342,9676;False
6;-54,3312454223633;-285,757558822632;216,9305;15,42943;12;285,3213;False
