Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;7166,3203125;4299,34788818359;349,2776;19,37343;12;358,34;False
2;6629,546875;4313,78342285156;270,6478;19,18056;14;385,2516;False
3;7158,71923828125;4647,88840332031;318,1402;19,86193;14;389,7229;False
4;7213,57568359375;4356,56733398438;324,7433;18,32036;14;387,7513;False
5;7435,8486328125;4783,45620117188;347,0652;21,86827;13;388,5843;False
6;7535,72216796875;4797,46076660156;266,5609;16,31183;13;478,8405;False
7;8771,6904296875;4707,67056884766;430,4431;20,41998;13;436,1861;False
8;7988,3916015625;5289,95720214844;291,285;17,37762;12;499,1732;False
9;8265,6875;5640,61716308594;342,5587;25,55072;12;477,3065;False
10;8549,1171875;5159,90782470703;373,3655;22,81647;14;473,3643;False
11;8427,171875;5595,47196044922;346,2718;19,92169;14;487,7546;False
12;8460,71484375;5575,48406982422;373,7314;19,67276;14;462,8414;False
13;10390,900390625;5764,42786865234;524,2149;26,04871;14;504,8129;False
14;8692,501953125;5951,77341308594;369,444;20,09839;13;490,6153;False
15;8452,8466796875;6275,57121582031;435,2751;23,88794;12;400,8987;False
16;8537,5068359375;5677,88918457031;378,7537;20,16455;14;465,6054;False
17;9497,59375;6300,40556640625;433,1363;30,02643;14;509,4105;False
18;10190,2119140625;6554,34641113281;494,449;28,68207;13;515,9528;False
19;10676,2470703125;6708,81525878906;547;21,06561;14;507,6415;True
20;10299,2333984375;6615,39243164062;494,9932;30,89038;13;526,918;False
21;9660,1640625;6227,72116699219;433,8076;28,53223;14;524,6067;False
22;10266,3623046875;6802,44814453125;493,5529;26,72595;14;523,8498;False
23;9811,1630859375;7495,64885253906;498,7123;23,38702;12;471,7419;False
24;8518,8662109375;6313,01955566406;344,2041;28,68018;13;501,6818;False
25;9398,873046875;6343,79423828125;434,5088;23,14136;13;495,9904;False
26;10871,8251953125;6588,97353515625;547;24,34424;14;528,9479;True
27;9517,9814453125;6574,63166503906;433,8977;23,87341;13;508,813;False
28;9893,685546875;7247,876953125;463,1196;23,76453;14;516,505;False
