Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1419074560;86357959,6488009;47,56389;7,5;13;327,8997;False
2;7454741504;1224173987,71094;78,75542;11,6139;13;331,8842;False
3;8330421248;1436221569,60313;79,64968;11,30108;13;331,8842;False
4;10563272704;971883370,006437;91,66835;14,26076;13;331,8842;False
5;5052732416;921294692,822974;89,1501;18,90735;13;320,7587;False
6;7127654912;1072647441,18817;84,41034;14,12567;13;331,8842;False
7;7242751488;999101636,478516;81,0218;12,64871;13;331,8842;False
8;4512019456;775450788,197656;70,0326;11,13162;13;331,8842;False
9;10854603776;1430527094,09426;99,03468;17,06689;13;331,8842;False
10;4429988352;1014800879,9;76,85969;14,17133;13;331,6885;False
11;4401820672;741379819,88125;79,63844;15,56973;13;333,1048;False
12;12262093824;1359658884,70508;120,773;26,36108;13;331,6208;False
13;7451284480;1892376597,71821;95,15773;18,61255;13;330,8434;False
14;15125325824;2720592719,0875;93,89223;12,66876;13;332,6785;False
15;6116453888;1582357007,28008;78,62792;12,72644;12;329,6322;False
16;9058824192;1249235363,67383;92,06538;15,51385;12;329,6322;False
17;12587545600;2099329557,89766;94,60857;14,11432;12;330,8328;False
18;7333065728;1793501841,1;84,91492;14,10907;12;330,6452;False
19;17616594944;1757966850,94375;106,4686;16,02411;12;330,6452;False
20;9498977280;1134291269,28438;76,52811;9,586426;13;332,5718;False
21;5569374720;1563773545,6;60,76155;6,988831;12;328,4516;False
22;14151322624;2734249345,125;121,2297;24,80658;13;332,5718;False
23;35457929216;4210646673,26953;138,6681;21,84113;12;329,8988;False
24;15147130880;1838231969,13438;122,6713;24,59729;12;329,9052;False
25;10802618368;2285151620,4;95,39832;15,5354;12;329,9668;False
26;12000066560;1331149823,96875;97,73654;15,63599;12;328,9648;False
27;24247719936;3219966736,1;112,0654;15,60046;13;333,8782;False
28;7059059200;1884361298;112,866;29,25708;12;329,9078;False
29;6996147712;962489023,579687;94,04278;18,58179;12;328,4027;False
30;34148466688;3271356788,97969;122,1856;16,16882;12;327,8141;False
31;38214885376;4416733558,56563;136,5028;20,16284;12;327,8141;False
32;4148127232;1026999146,0625;76,71749;14,47681;12;327,134;False
33;8856075264;1991473501,53163;95,51507;17,12317;12;326,6255;False
34;13052167168;2386728186,65625;122,0663;26,10486;12;328,2058;False
35;8082125312;2467530849,49297;96,78023;18,61011;13;329,6781;False
36;38527168512;5882801979,01563;123,4812;15,59448;12;326,3655;False
37;6116995584;1330690868,59258;79,16334;12,89954;12;327,3904;False
38;6152377344;1347420136,70613;78,55669;12,67407;12;330,3386;False
39;7101511168;1365574316,69199;77,62585;11,4248;12;328,864;False
40;13438623744;2743506467,42533;96,11834;14,17627;12;329,1906;False
41;35180003328;3803732715,825;121,537;15,73828;12;328,5998;False
42;15379057664;1897076429,3875;95,03801;12,87524;12;328,8168;False
43;30802372608;2577576554,88492;126,3513;18,60132;12;330,9579;False
44;37342568448;3229705721,89375;123,7543;16,00964;12;329,736;False
45;4455145472;938255580,35;76,86443;14,08948;12;329,6283;False
46;9934632960;2951725245,76563;95,08865;16,05359;12;329,3463;False
47;16487956480;2432970567,70879;95,71475;12,6499;12;328,433;False
48;11460952064;1195472049,41471;94,07148;14,53271;12;328,5673;False
49;29723707392;2255647516,02031;140,4173;24,50464;12;326,9612;False
50;6168734720;1978269298,71086;66,02224;8,121826;11;324,3786;False
51;49379557376;3587652501,49961;149,1143;21,97632;11;323,4902;False
52;19661154304;2532502613,16719;94,38256;11,10083;11;323,4902;False
53;13023457280;3294209592,6625;81,92292;9,577881;11;323,7711;False
54;10358488064;3134875086,44063;73,26519;8,117676;11;323,3489;False
55;33817434112;4825806720,38984;124,783;17,06274;11;325,4323;False
56;27561979904;4059924595,22813;102,5772;11,57983;11;325,4323;False
57;19098501120;3849911490,59727;93,40804;11,00757;11;325,4323;False
58;24375111680;5165065702,2;109,5401;14,58569;11;328,8021;False
59;4084829184;1067820955,67656;64,98793;9,600098;11;324,7593;False
60;21819770880;4716745317,7;126,2996;21,95679;11;327,3235;False
61;54442262528;3335695447,65244;115,4969;11,08984;11;325,7886;False
62;45342322688;7183083596,93359;122,4987;14,07813;11;325,7886;False
63;14521944064;2500859311,575;97,64759;14,10815;11;325,5799;False
64;30304894976;3045927032,72329;126,4789;18,64648;11;325,5495;False
65;20025890816;4516051211;109,7208;16,07813;11;325,5495;False
66;10523855872;2163767930,28125;95,15946;15,52393;11;325,026;False
67;7552894464;1990428433,15;78,81716;11,51196;13;329,0851;False
68;49568931840;3934805018,4125;124,5793;14,09497;11;328,1776;False
69;7367498752;2137705218,33437;78,62323;11,52759;11;325,8686;False
70;24182501376;1899664568,64375;107,7872;14,08716;12;329,8466;False
71;7561509888;1174813381,10938;73,33191;9,603027;12;328,8213;False
72;14969581568;2254788022,4;98,85019;14,36426;12;327,2567;False
73;24322342912;2863049174,21445;92,60944;9,581055;12;327,7599;False
74;66724921344;4251848504,7125;158,4412;22,08325;12;325,8921;False
75;10607810560;2392438629,49219;78,61085;9,603516;12;325,8921;False
76;98175516672;12505585901,2;199,1725;32,20581;12;324,8811;False
77;8460482560;1676208879,62188;98,61228;18,9231;12;324,8811;False
78;7495433728;2341652609,4;81,69968;12,56909;12;325,3141;False
79;26646358016;4696860960,10625;115,7343;15,9668;12;327,1617;False
80;20818821120;4370850006,98984;95,22416;11,09229;12;327,1617;False
81;30837891072;5092124003,99531;126,8947;18,59131;11;323,9567;False
82;30601904128;3660981540,34688;109,2041;12,92017;12;328,9198;False
83;10738688000;1976028710,575;78,67825;9,609619;12;328,9198;False
84;7329061888;1739570116,81875;77,49034;11,14404;11;325,7588;False
85;14060804096;2399848439,425;124,361;26,15845;11;323,4547;False
86;14064862208;1973230559,2;87,8574;11,03491;11;327,1761;False
87;21368133632;2199197627,0582;97,19926;11,49292;11;325,3213;False
88;34807738368;3370788192,39531;125,6177;17,15381;11;327,4478;False
89;25864595456;3054296053,90625;110,6478;14,49023;11;327,4478;False
90;13759557632;1643528644,95625;82,49339;9,534912;11;327,4478;False
91;25184182272;4130589336,025;126,3301;20,43872;11;326,9653;False
92;14209153024;2960315813,5;84,05319;9,827393;11;327,0948;False
93;33202083840;3398026652,55;124,4864;17,13623;11;326,1269;False
94;17393262592;2715848653,8;106,7097;16,10693;11;326,1269;False
95;13370200064;4301678211,03242;100,1262;15,6084;10;323,6796;False
96;12274314240;2480439684,00156;80,85374;9,553223;10;324,1877;False
97;4364852224;1022929043,9;83,69878;17,53613;11;326,7696;False
98;17028783104;3376704643,375;122,3242;22,9248;11;326,7631;False
99;4998583808;1180732044,89219;85,13447;17,07715;11;325,9497;False
100;32732416000;4991073272,3;124,8642;17,36377;11;325,144;False
101;12564743168;1828666885,01563;109,3903;20,05908;10;322,7619;False
102;42122321920;3030031868,45;127,1277;15,93457;10;322,1014;False
103;12171155456;2074538976,1085;95,06343;14,33203;10;322,0178;False
104;3658383104;790967887,885937;78,09102;16,01025;10;322,909;False
105;17428058112;1740745168,31328;109,3656;17,00488;10;322,1014;False
106;5016829952;700426883;83,20025;16,03027;11;323,3614;False
107;8593021952;1404889089,8;95,13404;17,18018;11;325,4778;False
108;3776370176;579103053,804688;64,56601;9,858398;11;327,0902;False
109;20138776576;2844699319,27754;108,4747;15,59082;11;325,9326;False
110;10869208064;1921106218,06484;109,471;21,65771;10;324,2861;False
111;18984830976;2727863846,2;114,9942;18,68018;11;329,449;False
112;4765835776;1124636237,05;77,97997;14,0874;11;328,0089;False
113;9156675584;1731318367,38823;80,96335;11,09717;10;324,1304;False
114;6355723264;1198646128,02031;79,04869;12,62109;11;328,0089;False
115;19070185472;2539696769,53232;96,44576;11,93408;10;325,4747;False
116;8389785088;2164867142,92734;94,74104;17,29834;10;328,9038;False
117;16750632960;2162383946,79716;116,8985;20,64307;10;326,9907;False
118;19964801024;3658176748,6;94,38763;11,10938;10;328,9038;False
119;21742239744;2389649901,58437;96,00468;11,10742;10;328,9038;False
120;53500039168;6168750454,64688;155,0712;23,4375;10;327,7335;False
121;35087548416;3776959908,49297;111,0893;12,59326;10;328,9038;False
122;23854790656;2487490480,19063;108,8855;14,52686;10;328,9038;False
123;23107622912;4809273724,2;107,4137;14,26611;10;328,9038;False
124;38054453248;4750362986,55859;109,4891;11,66162;10;328,9038;False
125;31845382144;3998407177,06016;114,2547;14,18066;10;328,9038;False
126;36690472960;5246221050,8;106,4969;11,08154;10;328,9038;False
127;60237496320;8844307067,98652;154,8125;22,06885;10;329,9109;False
128;23333922816;4282791904,24687;107,0923;14,09082;10;328,9038;False
129;32954836992;5618609273,2625;111,2508;13,03857;10;328,7489;False
130;36359634944;5015322319,5;106,2817;11,07568;10;328,9038;False
131;25628598272;4480224339,8;111,3446;14,81641;10;328,7489;False
132;36674068480;6456376312,85;106,7172;11,13965;10;328,7993;False
133;41787392000;7924908262,96875;110,6911;11,43652;10;328,9038;False
134;33702871040;5798547073,79688;110,4219;12,65723;10;328,9038;False
135;32648198144;7317096305,12422;110,4145;12,85791;10;328,9038;False
136;34633289728;8109440426,43125;110,7418;12,57471;10;328,7993;False
137;21004431360;3780089586,025;112,8571;16,9248;10;328,6353;False
138;30412879872;4180827768,34074;108,4049;12,72412;10;328,9038;False
139;24464150528;5677210123,875;108,2315;14,13037;10;328,9038;False
140;62482821120;6182570199,68456;159,1354;23,17773;10;328,9038;False
141;32157816832;5244739201,29246;109,0825;12,56836;10;328,9038;False
142;37738311680;7551645533,56563;109,1031;11,60742;10;328,9038;False
143;53587013632;9542931154,86516;120,9956;12,61621;10;328,9038;False
144;37990285312;8676907017,33379;108,8761;11,50879;10;328,9038;False
145;29734903808;5019040524,8;107,9454;12,73242;10;328,9038;False
146;36070727680;3758219093,47583;108,7932;11,78857;10;328,9038;False
147;32181798912;4232963245,1;109,1665;12,58789;10;328,9038;False
148;32719685632;6952798400,67012;111,6282;13,19971;10;328,9038;False
149;34090375168;6427365483,4;110,7838;12,68848;10;328,9038;False
150;65540898816;10618525064,8;153,8394;20,79443;10;328,9038;False
151;29579841536;6279456151,95898;107,0809;12,51172;10;328,9038;False
152;28633536512;6530644033,44375;106,7133;12,60791;10;328,9038;False
153;33902264320;6655875686,48281;110,6255;12,67822;10;328,9038;False
154;62492053504;6860743777,33203;154,5067;21,52734;10;328,9038;False
155;71747444736;8560229665,73594;155,4171;20,38818;10;328,9038;False
156;32744552448;7414297625,87187;109,5134;12,57861;10;328,9038;False
157;35693043712;6379132860,08167;107,1256;11,40186;10;328,9038;False
158;36852346880;9827103224,46875;110,0385;12;10;328,9302;False
159;36733767680;5096842769,05;108,5999;11,62988;10;328,9038;False
