Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;103381,859375;7748,15694502864;46,93334;8,975654;11;349,1188;False
2;137717,515625;24049,4455664039;51,64121;16,47206;13;368,743;False
3;271950,4375;29298,2332514334;64,7883;18,44229;12;444,9565;False
4;994934,9375;108606,834794331;99,83088;24,95952;12;434,1586;False
5;1216128,625;126354,693472385;106,7398;18,51039;12;369,5381;False
6;911375;145150,767784214;96,95399;20,76915;12;434,5257;False
7;327768,4375;92562,988871697;68,94811;20,71114;12;434,5257;False
8;1263512,875;229555,904160976;108,1085;21,01474;12;374,717;False
9;303163;79412,1577682495;67,17774;14,52469;12;434,7006;False
10;817357,75;176364,18769346;93,49837;20,91968;12;434,8745;False
11;987949,125;231578,954666138;99,59668;20,67307;11;430,4024;False
12;862094,375;145613,055892073;95,17399;19,5209;11;372,3286;False
13;860574,9375;179381,805833977;95,11804;16,53149;11;429,037;False
14;858989,3125;192533,738010861;95,05959;19,69162;11;372,3286;False
15;486717,46875;107920,932898314;78,66091;16,49109;10;394,9649;False
16;476014,125;190788,98398811;78,08002;15,19641;10;395,1087;False
17;312120,84375;121400,67322633;67,83298;18,0022;10;427,6401;False
18;376865,21875;168215,464981842;72,23184;20,38123;10;395,1087;False
19;877648,125;207293,925843274;95,74295;24,76343;11;399,0138;False
20;413700,96875;113450,583480343;74,51245;16,21021;11;398,5114;False
21;284120,96875;121655,65113345;65,74072;14,52942;11;398,5114;False
22;659364,5625;163879,217645264;87,03793;18,42023;10;393,506;False
23;1268170,25;275813,745300293;108,2412;17,98114;10;394,7574;False
24;957940,75;211663,45172081;98,5779;20,16943;10;395,812;False
25;478164,25;138079,791126143;78,19741;16,26147;10;395,7302;False
26;284189,90625;102222,013248158;65,74603;16,0329;11;397,3729;False
27;508657,9375;130234,165936279;79,82555;18,0592;11;396,3585;False
28;886723,875;201429,126074434;96,07185;21,30872;11;396,4243;False
29;891401,4375;188984,673577261;96,24048;20,30969;10;393,9815;False
30;1278481,25;202685,147339304;108,5337;24,06299;10;397,3717;False
