Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;601,814514160156;58,7961310655501;348,868;17,57353;13;325,1935;False
2;539,322021484375;181,813108079135;434,7622;22,71545;13;326,9271;False
3;618,057922363281;290,736798634956;344,1086;17,18059;13;322,9105;False
4;561,388977050781;305,070822633803;319,5822;16,47581;13;328,6578;False
5;515,421630859375;268,542065429688;293,3102;15,55817;13;323,6565;False
6;461,563140869141;237,610511730611;318,0162;17,50079;13;325,018;False
7;728,895568847656;293,409437942505;437,8197;21,24939;12;320,9198;False
8;518,272338867188;266,571124565601;348,0451;18,42758;13;323,4844;False
9;444,289154052734;277,327370071411;348,8337;19,44235;13;322,8539;False
10;593,169799804688;249,184594923258;320,3227;17,14209;11;323,6752;False
11;614,924194335938;295,391300754482;318,7976;16,85687;11;325,2819;False
12;604,90966796875;229,811336861923;374,9274;19,36377;12;324,627;False
13;880,464538574219;303,257334518433;375,6961;17,62524;11;323,0564;False
14;696,103698730469;218,775558628966;294,2428;14,92853;11;323,6752;False
15;727,512451171875;273,162206449319;322,6538;16,13092;11;323,292;False
16;567,461791992188;250,905329459906;241,9474;12,76483;12;328,8398;False
17;621,068237304688;208,996144613947;345,0744;17,20093;13;328,5577;False
18;663,783447265625;285,011264126003;404,2475;19,22778;14;330,9593;False
19;765,697875976563;231,305026930571;494,6253;23,61548;12;329,2202;False
20;920,177001953125;309,649603533745;374,7717;16,38684;13;328,8312;False
21;922,121948242188;467,355237579346;402,3528;17,58044;13;325,3263;False
22;752,924621582031;353,239663696289;405,3446;19,46167;12;330,258;False
23;644,009155273438;357,658996851929;407,7489;21,23071;11;327,5486;False
