Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;574298,0625;31484,6641951194;83,12132;17,36161;11;356,8578;False
2;316829,09375;83651,8664900186;68,17236;15,29546;11;355,7973;False
3;4268465,5;391474,815929413;162,2148;28,92448;11;355,9654;False
4;856164,6875;203339,399842072;94,95528;20,3866;11;355,7225;False
5;2111374,75;525937,336236823;128,2887;16,09229;11;355,0757;False
6;1190953,25;294714,564703369;105,9981;24,09959;11;355,0071;False
7;773449,625;213535,773335266;91,79324;17,75436;11;354,9907;False
8;1783023,5;342239,774169922;121,2604;27,58691;11;354,42;False
9;509317,15625;228098,259272003;79,86002;11,09077;11;356,8819;False
10;565408,6875;119581,930041504;82,69022;14,67711;11;356,4314;False
11;879632,3125;151445,899888611;95,81505;12,55853;11;356,7127;False
12;787126,1875;133748,336282349;92,33112;12,40128;11;358,6526;False
13;1930211,125;258446,914892578;124,5092;14,32425;12;358,3249;False
14;2125303;271866,727050781;128,5702;18,39182;11;355,949;False
15;592290,3125;205476,116210938;83,98045;23,24127;10;353,9589;False
16;1235377,125;223211,989805611;107,3;18,51797;11;356,8587;False
17;1238081,25;212620,502056885;107,3783;17,90015;11;356,6519;False
18;943502,4375;189352,667072296;98,08012;13,73889;11;357,4896;False
