Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;648,710388183594;395,447883605957;266,6034;15,74253;12;346,0564;False
2;637,119262695313;422,459770202637;269,3086;18,32451;12;355,4987;False
3;798,070068359375;441,844078063965;431,9961;27,87705;13;427,1072;False
4;758,401733398438;494,420509338379;346,0677;17,17693;13;383,8954;False
5;755,604675292969;469,241523742676;376,8059;26,89655;13;427,1072;False
6;779,867858886719;511,29893951416;375,3622;22,69893;13;426,8211;False
7;702,750610351563;539,538552856445;267,527;18,81793;13;426,8211;False
8;702,216918945313;514,848036193848;293,567;17,01334;12;382,8823;False
9;756,09619140625;583,600483703613;321,4183;17,26947;12;409,2677;False
10;769,359497070313;533,006956481934;343,9694;19,98779;12;425,2851;False
11;785,270446777344;589,956169128418;346,3519;17,07623;12;409,2677;False
12;779,569519042969;585,648091125488;347,3566;17,66608;12;409,2677;False
13;805,490356445313;555,645812988281;401,5179;20,54181;12;409,2677;False
14;1019,13104248047;597,137690734863;547;23,14233;12;409,2677;True
15;867,140686035156;597,439295959473;434,4476;22,25427;14;454,697;False
16;779,201354980469;536,163179016113;400,857;24,33038;13;414,0172;False
17;1019,5009765625;598,128230285645;547;23,15479;13;409,7647;True
18;849,548950195313;623,028541564941;462,3562;22,83374;13;415,8827;False
19;882,383850097656;596,932008361816;495,4413;23,25696;13;421,6339;False
20;817,106262207031;614,077522277832;404,0889;20,89093;13;421,6339;False
21;810,78857421875;612,083407592773;346,4934;15,82373;14;418,5711;False
22;1046,03527832031;675,134156799316;547;21,80139;13;421,6339;True
23;1021,51690673828;718,641960144043;547;22,60022;13;405,9839;True
24;1040,80541992188;713,568257141113;547;22,2655;13;421,6339;True
25;1041,88317871094;749,306204223633;547;20,84863;14;406,0159;True
26;1039,30603027344;760,477401733398;547;20,87134;14;403,7241;True
27;1048,80773925781;747,837162780762;547;19,87451;13;400,0809;True
28;1026,21337890625;760,030320739746;547;21,97021;14;403,7399;True
29;1032,29284667969;801,214385986328;547;23,0647;13;421,6339;True
30;1065,04064941406;712,399151611328;547;20,18506;13;420,5481;True
