Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;168060,765625;121404,801953125;232,0428;21,00239;13;337,7964;False
2;255510,203125;147323,54140625;375,8996;36,39494;13;337,7964;False
3;246499,640625;165597,698828125;349,221;27,72218;12;352,7299;False
4;285209;177993,868359375;351,8325;20,98274;12;401,5659;False
5;307753,40625;172589,441015625;403,5803;22,62944;12;380,3919;False
6;311028,90625;177612,631640625;407,6062;21,67542;12;380,3919;False
7;373286,59375;199937,8875;429,7542;32,99982;13;434,1286;False
8;443426,75;210367,0671875;547;22,9447;12;379,4461;True
9;418849,15625;231593,8328125;459,3128;21,20053;14;455,702;False
10;349330,1875;225349,18828125;436,4709;26,2258;13;398,3175;False
11;290725,25;199477,36171875;317,387;21,94656;12;435,7133;False
12;336794,34375;200471,82421875;403,7709;25,66486;12;416,6606;False
13;480406,84375;219266,5828125;547;24,13373;13;425,4071;True
14;359385,40625;218848,6765625;430,8062;23,24829;12;416,6606;False
15;350630,78125;220479,096875;410,3988;21,23218;13;426,6267;False
16;339687,09375;194835,82421875;407,1414;23,7561;12;416,8352;False
17;376359,25;203308,97421875;435,4987;26,43134;12;431,8974;False
18;352109,6875;210282,44453125;406,636;18,3587;12;431,8974;False
19;452148,21875;247060,2203125;492,1646;27,30365;13;457,976;False
20;495580,375;222155,5453125;547;20,90607;12;442,8428;True
21;451754;216061,31328125;528,0396;22,6192;12;415,5656;False
22;360881,46875;229119,2375;433,5971;24,04858;12;415,5656;False
23;417666,5625;228275,8078125;494,7274;22,8335;12;415,5656;False
24;472132,4375;256192,38984375;547;23,91675;12;415,5656;True
25;359037,09375;223317,74609375;431,9261;21,72119;12;415,064;False
26;471625,53125;245200,17890625;547;21,12854;12;414,9189;True
27;431657,5;236252,23984375;526,9371;26,07935;12;392,1642;False
28;373946,65625;241930,61953125;468,9812;22,2793;12;392,1642;False
29;499404,5625;325708,85703125;547;21,20337;12;447,1438;True
30;444131,25;286969,56328125;497,2201;24,39868;12;443,5083;False
