Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;438,601440429688;359,859149169922;2,314018;5;12;424,2874;False
2;450,1474609375;351,716188049316;10,57528;5,645344;13;426,5722;False
3;446,141723632813;375,38970489502;6,569551;4,464378;13;426,5722;False
4;462,608795166016;386,143618774414;67,80831;11,59592;13;381,8005;False
5;489,042877197266;413,901177978516;49,68457;14,47092;13;426,3583;False
6;546,489196777344;437,819480895996;94,79527;24,49327;12;439,6939;False
7;492,404571533203;427,518254089355;40,71064;11,22369;12;439,6939;False
8;495,908325195313;440,083164978027;61,78298;19,60561;13;421,1253;False
9;505,282562255859;446,655335998535;51,9987;11,00082;13;440,2839;False
10;508,4345703125;442,67495880127;32,33879;11,45288;12;464,0958;False
11;516,747680664063;466,456588745117;62,28054;20,85065;10;444,4671;False
12;507,276763916016;467,91915435791;30,88963;10,49289;12;464,3871;False
13;516,388427734375;469,279187011719;50,20446;14,45816;13;453,184;False
14;520,167663574219;470,775587463379;31,80499;12,1756;12;476,3627;False
