Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;22185,259765625;6613,03707202496;1080,102;52,58537;14;318,5078;False
2;26738,349609375;12368,0194162278;1329,398;66,09604;14;318,3212;False
3;25147,3671875;16535,0150489807;1330,156;70,35786;14;319,5696;False
4;26969,947265625;18880,8970523059;1308,877;63,521;14;317,555;False
5;29375,337890625;19145,3874787602;1605,31;87,72736;14;316,8596;False
6;24920,0859375;18837,5320557475;927,53;34,52283;14;318,9589;False
7;25956,15234375;19684,1629608154;1347,631;69,96838;14;318,9589;False
8;26093,013671875;20664,5668945313;1316,065;66,37897;14;317,9984;False
9;26394,9375;17215,4961049885;1314,543;65,46802;14;317,1451;False
10;25280,880859375;17966,7428649902;1480,6;86,71283;14;318,0611;False
11;29994,26171875;19361,9299047947;1597,845;85,11987;14;314,1632;False
12;32457,876953125;18702,735006088;1750;94,64465;14;318,0611;True
13;30663,251953125;18176,5269745111;1750;100,202;14;318,5213;True
14;31332,41796875;16045,0120253183;1750;98,05518;14;318,4505;True
15;31398,0703125;21389,8622070312;1750;97,84949;14;318,0611;True
16;30589,115234375;19614,8701874301;1750;100,4457;14;318,0611;True
17;27670,390625;18688,5529991627;1342,751;65,15918;14;303,7958;False
18;33429,79296875;22938,440471109;1750;91,88477;13;312,082;True
19;32282,091796875;22612,990234375;1750;95,16162;13;312,082;True
20;34282,3515625;25434,0165039062;1750;89,59302;13;312,082;True
21;33308,81640625;23908,0516235352;1750;92,21948;14;320,7521;True
22;33335,21484375;22637,129284668;1750;92,14624;14;320,7521;True
23;30342,537109375;19316,0629454911;1750;101,2646;14;317,325;True
24;30948,833984375;22663,4761230469;1750;99,27441;13;313,2814;True
25;29993,998046875;22326,4703125;1750;102,4453;14;317,7953;True
26;33057,0703125;21301,3590935588;1731,651;90,71021;13;313,2814;False
27;34422,26953125;21865,9890084475;1750;89,22778;14;314,3649;True
28;34914,17578125;22430,3173339844;1750;87,96704;14;314,3649;True
29;35850,21875;25840,1294921875;1750;85,66382;13;313,2192;True
30;35159,08203125;22908,2056182911;1750;87,35254;13;312,9589;True
