Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;367869952;86148687,5;291,0782;18,69987;12;413,447;False
2;374185280;97309545;295,1552;21,55503;12;413,447;False
3;406525280;115979695,6;315,3443;19,86284;12;413,447;False
4;523262816;172404394,2;414,6465;26,59273;13;378,1771;False
5;423478208;193959019,6;318,4941;21,63118;12;420,4548;False
6;563303680;204418171,2;373,5681;23,2583;14;438,3067;False
7;474052544;225555549;345,5345;19,08679;13;421,1917;False
8;522794112;260673426;401,3492;21,0285;12;392,2336;False
9;615911360;245665457,2;373,9798;25,44363;14;462,8436;False
10;558185728;277637754,8;344,8917;24,4032;13;465,4742;False
11;1027193792;401582781,6;530,2427;27,73444;13;465,7409;False
12;1014125568;351857082,8;526,3437;24,1308;14;464,3428;False
13;910351232;318719925,2;496,2825;20,78625;13;459,8943;False
14;818984064;353942558;462,696;27,72852;13;459,9075;False
15;779881664;338740102,4;435,6877;25,74438;14;470,7821;False
16;942198080;345508916;496,187;25,33276;14;470,1621;False
17;764225472;391244268;433,3089;21,90698;13;467,9598;False
18;654089024;345520528,8;381,0175;21,33917;14;473,0342;False
19;768700800;363870112,4;428,5323;25,1377;14;473,5175;False
20;951554944;360335840;494,4449;22,35919;14;475,1387;False
21;777904832;437694276;430,9669;19,59009;14;474,7245;False
22;1047856768;419984885,6;527,222;24,21423;14;474,4823;False
23;862813056;527671420,4;463,2798;22,01782;14;474,7245;False
24;1113265280;512330782,4;547;24,34473;14;475,4131;True
25;1112741376;456932693,6;547;20,84729;14;475,2505;True
26;1111704704;583742448,8;547;26,37964;14;474,9286;True
27;946065600;512954318;493,6842;34,67773;14;474,0044;False
28;652111680;347701167,6;377,9471;20,48608;14;475,229;False
29;1116431744;480430970,8;547;22,96899;14;476,3947;True
30;1121873792;513471127,2;547;21,48145;14;478,0776;True
