Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;20215,73828125;5755,36025003023;1060,935;55,6786;12;310,6034;False
2;24164,173828125;10045,5946026516;907,238;34,06203;11;328,1045;False
3;21650,3203125;9924,32102941866;919,7372;39,07178;11;328,1045;False
4;21884,146484375;12795,3221004493;922,5704;38,89282;11;327,3559;False
5;20822,74609375;11082,2672310352;931,1302;41,63733;11;327,3559;False
6;23834,734375;16083,9450469106;1065,932;47,67041;11;340,406;False
7;22133,505859375;13972,1483939648;914,6697;37,79883;11;327,5229;False
8;21130,076171875;10302,5680469306;915,9305;39,70306;11;313,9514;False
9;22338,759765625;14241,516595304;905,9723;36,74268;11;327,1077;False
10;23555,470703125;14337,525494469;906,4139;34,87878;11;328,1391;False
11;23391,263671875;12541,2537449121;906,4946;35,12988;11;328,1391;False
12;23589,705078125;16618,1327959061;908,5315;34,99109;11;328,1391;False
13;23130,048828125;18529,026171875;906,7701;35,54822;13;332,262;False
14;22333,341796875;16564,5543803334;907,5732;36,88159;11;327,805;False
15;23316,58203125;18650,0244384766;905,9123;35,19714;11;327,805;False
16;24209,08984375;18109,0611203462;908,5165;34,09473;11;344,0246;False
17;23419,255859375;16137,1515030272;905,9456;35,04541;11;328,1831;False
18;24086,84765625;15348,8912597656;915,115;34,76733;11;326,7805;False
19;22831,484375;19093,0301269531;928,0703;37,72485;12;335,8163;False
20;23508,791015625;16683,5122150719;931,8192;36,93457;12;337,2887;False
21;25050,466796875;19954,0917230517;926,1689;34,24243;12;350,7001;False
22;24749,2265625;18750,0440460682;924,634;34,54443;11;332,0448;False
23;23854,521484375;21145,3;1071,944;48,16968;14;340,1198;False
24;23678,91796875;18381,4370483875;922,9673;35,97583;12;335,3597;False
25;24907,048828125;20341,3971187592;1055,497;44,72925;11;329,3841;False
26;24062,740234375;18703,8165405273;921,8448;35,31592;12;333,1008;False
27;23800,88671875;18655,3891543496;935,5677;36,77539;12;333,4683;False
28;23920,703125;19926,3013671875;1061,421;47,0979;13;335,4121;False
29;24445,6171875;19129,0179931641;914,9878;34,24756;13;335,2693;False
30;23546,37109375;18849,3296386719;911,796;35,30786;13;337,6578;False
