Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;325085,46875;136341,919921875;463,4013;22,32077;14;332,1817;False
2;391500,09375;148630,61328125;530,2409;24,68183;14;332,1817;False
3;323780,5;130500,6796875;461,9911;21,45582;14;332,1817;False
4;274069,03125;166629,403125;404,6287;23,57871;14;332,1817;False
5;297479,375;169843,273828125;432,5907;22,12471;14;332,1817;False
6;457935,53125;210273,7828125;547;22,01308;14;398,405;True
7;318672;194007,26640625;435,3305;29,00815;14;359,3875;False
8;415048,90625;222261,628515625;529,1996;24,10165;14;367,4189;False
9;378481,65625;213491,190625;494,5638;24,76505;13;365,9076;False
10;379970,34375;196211,215625;496,0665;29,46442;13;365,9076;False
11;373942,8125;218442,095703125;496,4952;31,32916;14;356,9808;False
12;405126,96875;209665,870703125;526,6824;23,49774;13;357,397;False
13;322636,28125;203366,600390625;460,8076;27,19012;14;332,1033;False
14;410937,0625;200784,933203125;547;22,51227;14;334,2575;True
15;410937,0625;204979,0109375;547;22,97614;14;334,2575;True
16;408122,28125;200816,266796875;547;23,43964;14;330,0201;True
17;423890,9375;220650,158984375;547;22,93182;13;353,1033;True
18;343369,40625;205703,580859375;436,5378;22,37762;13;390,9017;False
19;388279,96875;217168,876953125;527,8862;32,64697;14;331,0832;False
