Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;256,799194335938;44,5697090205911;327,3442;22,49467;12;324,6305;False
2;464,828826904297;92,8796390536805;402,6676;22,70502;12;317,253;False
3;565,131042480469;122,776961851167;345,9398;17,7952;13;392,6108;False
4;636,086364746094;123,731291406233;463,1781;22,90489;13;393,5748;False
5;621,197570800781;196,515027685277;430,0459;21,43501;13;393,2584;False
6;896,668029785156;196,277548437565;432,61;20,17229;11;313,9108;False
7;772,683959960938;202,377223056555;527,0073;25,8237;11;313,9108;False
8;822,956481933594;294,934416076541;438,3663;19,89438;13;419,7772;False
9;572,993103027344;228,168292484432;346,4051;17,30447;14;340,228;False
10;484,678894042969;221,547945918326;237,6279;13,60239;11;314,1797;False
11;708,266784667969;168,00181063138;500,7051;23,88922;13;370,5076;False
12;582,758117675781;189,79776221225;349,6756;18,28558;12;344,1107;False
13;611,279235839844;258,608903130284;400,0919;21,19739;11;313,4189;False
14;665,086791992188;208,681298537971;402,0724;21,38019;10;345,5314;False
15;847,661804199219;306,109653097391;463,1989;22,00708;11;313,4189;False
16;1121,26281738281;323,810638046265;611,8878;25,7262;12;339,9586;False
17;1187,91003417969;378,839537239075;352,9982;14,55853;12;327,1086;False
18;1801,45166015625;587,861263123155;547;19,63599;12;327,1086;True
19;982,906005859375;403,669851112366;407,1663;17,4162;13;328,1602;False
20;1310,43823242188;428,778695297241;529,7539;20,58832;13;322,0819;False
21;1636,36791992188;553,589134575427;547;19,25977;14;351,2723;True
22;1439,35607910156;504,189281028509;547;20,1012;14;351,2723;True
23;925,736450195313;425,83473033905;350,7323;14,93152;14;351,2723;False
24;1133,71667480469;456,501470756531;437,317;17,83667;13;356,9833;False
25;1694,91650390625;401,598201489449;547;19,51147;13;356,9833;True
26;1240,02014160156;378,944043922424;547;21,12524;14;348,3078;True
27;1370,412109375;444,500194936991;526,4148;20,15564;13;356,9833;False
28;1368,33825683594;533,871019172668;531,9489;20,92883;12;357,5985;False
29;1494,24133300781;462,654473876953;547;20,34851;13;320,9245;True
30;1288,21130371094;421,398801539838;491,893;19,74609;12;361,5053;False
