Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;22284,626953125;8530,39929159023;935,7898;39,29626;14;319,0427;False
2;20480,66015625;10082,6255936269;915,0394;40,88232;13;426,4825;False
3;21349,87109375;12555,1230263934;923,7277;39,96619;12;361,2566;False
4;22691,75;13560,2362426758;905,8665;36,16266;13;426,6322;False
5;20760,294921875;10408,3367214322;924,4504;41,16553;13;426,8387;False
6;21483,052734375;12520,1573360985;940,0715;41,13635;13;426,2764;False
7;21912,693359375;15242,9733142334;934,6515;39,86609;13;426,2764;False
8;24138,71484375;15851,3783935547;1049,243;45,60767;13;426,907;False
9;22709,17578125;15708,6273156724;908,9502;36,38135;13;425,7662;False
10;21806,337890625;16335,5102050781;921,553;38,94556;13;424,2365;False
11;21958,021484375;14989,8701950957;919,9838;38,54492;13;424,2365;False
12;22945,060546875;18000,7640014648;1071,392;50,02734;12;426,7891;False
13;23101,970703125;17168,042364502;1067,526;49,32959;12;415,9367;False
14;23949,583984375;15927,0904686093;922,6818;35,54724;12;426,7891;False
15;23672,533203125;16941,1605768979;915,139;35,37769;12;426,7891;False
16;23885,4296875;17621,1537287235;922,9485;35,66333;12;426,7992;False
17;23982,154296875;19522,1440429688;1072,611;47,9729;12;422,3759;False
18;23315,59765625;19643,6559570312;929,8118;37,08032;12;424,457;False
19;23996,005859375;19076,1185546875;1057,981;46,64624;12;422,8435;False
20;24805,41796875;18344,9944587679;1062,073;45,47388;12;427,3657;False
21;23272,484375;18497,6010253906;910,8983;35,65308;12;422,5261;False
22;24378,974609375;18870,0212270021;921,2518;34,81299;12;422,3726;False
23;27164,841796875;19090,5204101562;1202,725;53,25073;11;419,9442;False
24;23991,27734375;20042,7200683594;1329,804;73,70923;12;424,2448;False
25;24539,626953125;20165,1408333158;1067,288;46,41895;13;427,7794;False
26;25519,005859375;20848,0649414063;921,3202;33,2627;12;424,8066;False
27;24186,966796875;19932,2344604492;1057,519;46,23755;12;424,8066;False
28;23646,25;16633,6948730469;935,5428;37,01392;13;429,1208;False
29;25821,876953125;19022,7681640625;1337,602;69,28931;12;422,8262;False
30;24398,578125;21594,1751953125;1060,445;46,09058;12;425,3225;False
