Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;3369270771712;718305821133,224;267,4456;21,41349;14;361,1506;False
2;11126531162112;2256253479804,61;404,3941;20,07489;11;408,2411;False
3;9696205340672;2438486525140,03;376,7376;18,65452;11;408,7972;False
4;16513221263360;4077408234846,03;491,6476;30,34235;11;408,7972;False
5;13938736496640;3975172511308,8;496,8362;22,64163;13;383,6475;False
6;12659373113344;4379222641167,39;373,1357;22,98486;12;449,6689;False
7;16999155499008;5710222725749,34;432,9998;21,87354;12;449,2457;False
8;17117729521664;5683534044125,91;433,6957;24,16919;12;449,8061;False
9;22927028256768;7405036974708,8;547;27,6734;12;424,7412;True
10;17231482191872;5833748530790,4;432,158;25,40451;12;451,869;False
11;19889662197760;7531048114585,6;464,296;25,05298;12;451,869;False
12;22768686989312;9627917990415,35;494,3344;26,35352;12;453,3484;False
13;25716322205696;9979755308646,4;526,4125;28,74896;12;452,7434;False
14;23065933119488;9678147389440;497,7334;29,992;12;453,2375;False
15;27674439319552;9470193344307,2;547;24,79175;12;452,239;True
16;27504052011008;11571441203609,6;547;21,59558;12;451,309;True
17;33613116604416;14202794822860,8;609,8329;26,35913;12;448,7754;False
18;28482654437376;15222136628838,4;547;21,32556;13;456,5993;True
19;28055808507904;14102555187609,6;547;22,22113;13;454,3069;True
20;28389547180032;17637972646297,6;547;20,75769;12;456,1013;True
21;28454892339200;15382519624499,2;547;20,26996;13;456,4509;True
22;28774229868544;15975357585817,6;547;20,92871;13;458,1521;True
23;28774229868544;15444939426611,2;547;23,83936;13;458,1521;True
24;28774229868544;14062213588582,4;547;26,87146;13;458,1521;True
25;28471610834944;18585249977139,2;547;22,88806;12;456,5403;True
26;28471610834944;17965719512678,4;547;19,84534;12;456,5403;True
27;27884924174336;11913905102848;547;21,90515;13;453,3827;True
28;27884924174336;9728355405209,6;547;19,48889;13;453,3827;True
29;28007647412224;14389397742668,8;547;19,83606;13;454,0468;True
30;28151579148288;14719661483212,8;547;23,66516;13;454,8233;True
