Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;25812,126953125;9165,96894218177;1465,368;83,18973;12;305,7105;False
2;24734,341796875;12889,3530153435;915,9971;33,9225;12;305,7105;False
3;29894,71484375;15611,4858165464;1465,142;71,80667;12;358,755;False
4;27207,181640625;15513,6557055796;1342,499;66,24365;12;358,755;False
5;23292,84375;16012,833445549;918,9544;36,25479;12;358,755;False
6;25511,93359375;14516,9066571794;1459,722;83,52124;12;319,6197;False
7;25856,34375;16561,0857666016;1626,29;102,289;12;330,6605;False
8;25167,3203125;16266,7082135201;1471,594;86,04767;12;319,6197;False
9;27102,123046875;17319,8095856428;1581,693;92,30835;12;319,6197;False
10;28559,091796875;16610,1914884333;1609,254;90,67859;12;348,7521;False
11;40644,48828125;19364,8108420254;1750;99,9364;12;320,1514;True
12;41077,66015625;21332,7506835937;1750;98,54346;12;319,2858;True
13;40811,96875;19754,572265625;1750;99,39319;12;319,2858;True
14;41688,80859375;20880,8075195312;1750;96,64294;12;320,1514;True
15;41592,28125;22271,185543488;1750;96,93823;12;320,1514;True
16;42237,546875;25683,0771972656;1750;94,99792;12;322,1964;True
17;45608,546875;27582,291024524;1750;86,00464;12;323,5818;True
18;43684,75390625;25392,1409342885;1750;90,9165;12;323,5818;True
19;42487,30859375;28696,40625;1750;94,26758;11;315,7598;True
20;42344,40234375;27177,2573242188;1750;94,68408;11;315,1739;True
21;43351,9453125;27387,4518066406;1750;91,82373;10;313,2216;True
22;42750,7578125;23188,95546875;1750;93,50928;11;316,3329;True
23;43824,90625;26805,7476074219;1750;90,53979;11;316,3329;True
24;43114,8359375;30723,3831054688;1750;92,4812;11;316,9073;True
25;43937,46484375;32993,8959960938;1750;90,2395;11;315,2136;True
26;43903,34375;30760,6499511719;1750;90,33032;11;315,2136;True
27;43285,21875;34428,0186523438;1750;92,00781;11;317,0301;True
28;43627,140625;29280,3958129883;1750;91,07227;11;319,7416;True
29;43696,3359375;25938,541450119;1750;90,88525;10;315,6169;True
30;43326,3359375;25060,8989826255;1750;91,89429;10;313,6362;True
