Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;22602,798828125;6347,38154408969;910,5627;36,68238;12;307,2693;False
2;18188,857421875;9281,22600438297;931,0405;47,65755;11;289,1254;False
3;22667,28125;13178,737940716;1070,577;50,56342;12;276,7102;False
4;23007,921875;15766,2294028074;925,6216;37,23828;11;316,2616;False
5;22161,662109375;17712,8396972656;1072,359;51,88934;12;256,7023;False
6;23162,67578125;15312,584721899;925,9899;37,01892;12;313,596;False
7;23608,828125;17626,3646850586;938,6127;37,31628;12;312,9784;False
8;23172,3828125;14838,1330305696;923,6317;36,81519;12;312,9784;False
9;26755,12109375;15058,2040996835;1336,945;66,80676;12;312,9784;False
10;24266,0625;14292,0841585934;1067,169;46,93176;12;312,9784;False
11;24251,634765625;14725,3857902974;967,5153;38,59888;12;312,9528;False
12;24407,35546875;18148,9322348237;913,3325;34,17725;12;311,8795;False
13;40105;14649,8314942259;1750;101,7273;10;210,1796;True
14;39667,9609375;17332,0387812734;1750;103,2258;10;210,1796;True
15;40312,18359375;17663,0754947642;1750;101,032;10;210,1796;True
16;40676,6015625;18610,085144043;1750;99,83179;10;210,1796;True
17;46468,72265625;21763,3501806146;1750;83,97607;9;208,0129;True
18;46766,734375;23896,2493028854;1750;83,29541;9;206,7054;True
19;42638,53515625;23961,6303222656;1750;93,83081;9;207,3896;True
20;45912,3359375;25056,7473632813;1750;85,2771;10;209,2931;True
21;46656,49609375;27095,3919433594;1750;83,5459;10;208,2032;True
22;46652,53515625;32693,6723388672;1750;83,55493;10;210,7455;True
23;46232,97265625;24221,8014648437;1750;84,52246;10;209,9966;True
24;46488,453125;28255,1524902344;1750;83,93066;10;209,9966;True
25;47335,33203125;27377,2360351562;1750;82,02686;10;206,6149;True
26;46875,6796875;23136,1696212769;1750;83,04932;10;207,8699;True
27;45232,58984375;24629,6095703125;1750;86,92236;10;208,1071;True
28;44821,23046875;25890,8714355469;1750;87,94922;10;208,7833;True
29;42729,2265625;23894,9086914063;1750;93,5708;11;212,0415;True
30;46333,93359375;24901,5233886719;1750;84,2876;11;212,0415;True
