Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;264,041381835938;31,0745172369568;248,2773;16,05722;14;313,6349;False
2;328,556945800781;85,1290178845637;262,8647;15,8059;14;313,6616;False
3;1113,6201171875;198,085060408729;547;21,89604;14;334,481;True
4;401,556884765625;164,705013321076;290,5188;17,20012;12;419,5728;False
5;746,557067871094;229,916957761971;502,0178;22,96089;14;334,3659;False
6;1376,95715332031;276,645021727309;547;20,40036;14;334,3659;True
7;906,562133789063;286,4333161816;524,2554;22,47507;14;335,7958;False
8;1131,78625488281;321,812787234783;547;21,77826;14;333,7791;True
9;394,286437988281;99,0584726954233;470,1027;27,26514;13;332,8699;False
10;1012,50567626953;327,886650747061;547;22,60193;14;334,727;True
11;1002,13690185547;334,569561433792;526,5443;21,83148;14;333,3372;False
12;794,250549316406;361,819521331787;492,5287;22,06665;14;334,5159;False
13;1306,11804199219;399,982691192627;547;21,28198;13;334,9648;True
14;568,000610351563;301,780126953125;465,3268;23,31305;14;336,3158;False
15;762,743957519531;335,215338373184;402,89;18,29578;14;333,7162;False
16;896,194519042969;347,686315912008;547;23,54022;14;335,6594;True
17;719,387634277344;293,202610246837;318,1416;15,10028;13;331,0417;False
18;700,209106445313;295,043865373731;405,835;18,96259;14;330,6389;False
19;675,197631835938;276,311031609904;375,9419;18,22479;13;329,1846;False
20;1148,63269042969;314,247759628296;547;21,67126;14;332,948;True
21;714,949768066406;385,378749847412;434,8531;20,6825;13;330,9874;False
22;697,437622070313;283,873101552534;408,6088;19,59558;13;331,1552;False
23;333,060211181641;221,565482521057;295,2843;18,11694;13;335,702;False
24;997,622253417969;198,997473694031;408,031;17,36694;13;331,1795;False
25;731,643127441406;342,13793182373;371,2772;17,99719;12;329,2582;False
26;1280,40661621094;290,225853159477;547;20,90076;14;332,3818;True
27;632,330261230469;257,935856992892;405,7607;20,6488;12;327,292;False
28;1548,625;324,09389257431;547;21,25891;11;330,878;True
29;1066,67761230469;328,136256973445;547;22,76819;13;326,294;True
30;1074,58288574219;326,913555812836;547;24,01282;11;322,2785;True
