Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;25016908;3428060,03842583;292,4677;18,61296;13;371,9081;False
2;24988728;1906888,8650707;292,3578;21,90667;12;346,6713;False
3;50901232;10229746,4399467;370,6034;28,39626;12;347,5776;False
4;81816656;18630638,378125;434,1241;29,99742;12;348,7308;False
5;118886008;15063967,864621;491,7114;30,18692;12;349,8994;False
6;63960752;22609760,6701904;399,9182;26,80328;12;351,04;False
7;43190300;15166796,506035;350,8559;23,90039;12;349,9907;False
8;81666136;26912234,0437306;433,8577;25,29486;12;349,9907;False
9;66177532;19384678,3763778;404,486;27,53723;12;349,9907;False
10;104070904;25371030,6914063;470,3738;28,02429;12;348,3057;False
11;65446112;15905429,110058;402,9903;20,44122;12;351,8161;False
12;163667328;43412171,7918463;547;24,46106;12;351,6309;True
13;65120460;17561488,4387502;402,3208;22,64191;12;351,9901;False
14;67333128;23072841,134375;406,8268;19,1723;12;351,2528;False
15;69844304;13659856,1417969;411,8228;22,77502;11;350,4832;False
16;102203384;21683569,2554687;467,5432;22,97339;11;351,4183;False
17;81211488;28632677,8578125;433,0511;20,25702;10;346,392;False
18;101482016;29845932,462571;466,4406;23,77856;11;350,5639;False
19;80676512;16653282,8150318;432,0981;22,15649;12;353,5344;False
20;163667328;37098450,6;547;22,38397;12;355,8797;True
21;123225904;36189377,10625;497,6233;23,34766;12;352,1208;False
22;163667328;58210034,725;547;23,79291;12;354,8632;True
23;98909240;36345411,2004363;462,4651;22,46838;11;349,0536;False
24;163667328;31452652,45;547;22,36621;13;359,0385;True
25;100718296;46820989,1318539;465,2676;26,86243;11;350,8753;False
26;122245952;29957745,0081431;496,3006;25,48621;11;353,3089;False
27;121937400;36331566,1468964;495,8827;24,18115;11;352,7734;False
28;120585688;31540683,3242188;494,0436;25,40295;12;356,107;False
29;163667328;39223116,7903229;547;23,31726;12;354,8301;True
30;52092876;23669030,4976746;373,4732;17,97217;10;349,4525;False
