Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;190066,015625;125892,54375;0;0;11;435,9656;False
2;218886,6875;139264,22109375;290,6942;22,99066;11;366,5836;False
3;258547,046875;159063,392578125;266,4796;18,86142;12;433,0539;False
4;273400;174841,05078125;291,7883;23,87586;12;433,8889;False
5;394138,40625;188754,81484375;465,5151;23,19131;11;421,2293;False
6;576643,125;225311,742578125;547;25,34824;11;421,2293;True
7;365660,09375;233521,21953125;434,4187;24,3111;12;420,6429;False
8;342593,1875;191861,33828125;404,0576;19,29489;12;423,4744;False
9;457485,375;216251,3453125;527,4038;22,52185;12;423,4744;False
10;405352,5625;261942,890625;461,086;29,08588;12;439,0356;False
11;475821,84375;287361,22734375;536,1862;28,37051;12;433,9657;False
12;424486,75;279415,68984375;490,9366;29,69293;12;428,3317;False
13;478163,96875;293604,496875;529,8752;32,09613;12;444,293;False
14;436112,28125;291854,628125;497,6127;27,49854;12;434,1588;False
15;476706,59375;300769,8921875;528,2574;23,6084;12;444,5793;False
16;599692,625;303339,25078125;547;20,81256;13;447,754;True
17;464049,59375;329009,5890625;527,5128;23,95007;12;431,0219;False
18;428614,375;307480,8015625;494,4181;29,35199;12;429,1447;False
19;597123,9375;305375,07109375;547;30,48853;12;444,8763;True
20;596929,5;298372,54140625;547;22,75787;12;444,6577;True
21;444366,375;295213,86484375;496,2934;24,89539;12;445,0385;False
22;586150,25;326798,02421875;547;25,52588;12;432,367;True
23;597268,25;335943,28515625;547;21,59802;12;445,0385;True
24;596775;328282,9109375;547;24,11322;12;444,484;True
25;586542,8125;354722,79296875;547;20,448;12;432,8207;True
26;596598,5;355307,675;547;23,33801;12;444,2854;True
27;597038,0625;335348,4015625;547;22,7605;12;444,7798;True
28;596598,5;327393,30859375;547;24,39563;12;444,2854;True
29;442196,5625;321355,34296875;494,9651;24,90662;12;444,079;False
30;439684,625;311032,625;492,9645;24,99377;12;443,4756;False
