Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;32569454231552;7822570667798,41;919,3236;43,54095;14;337,7727;False
2;44169087156224;19647888404628,7;923,2814;70,40005;14;372,8065;False
3;45718312058880;22586995811905,6;919,9715;45,95592;13;378,0192;False
4;48655901917184;20754322039712,5;1068,56;63,32834;13;349,2845;False
5;46272539000832;34143000470732,8;966,8257;41,64105;12;367,1772;False
6;50207744065536;29896259021535,7;964,0834;51,5614;13;378,0192;False
