Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;775,418884277344;430,376048278809;433,3063;27,56207;11;331,1125;False
2;628,233764648438;451,343041992188;263,0172;13,42818;13;352,2166;False
3;656,509643554688;484,982879638672;266,1668;14,73631;14;376,3428;False
4;717,797607421875;472,746940612793;402,5434;24,72815;11;304,2542;False
5;767,121826171875;559,214743041992;376,779;19,84001;14;376,3428;False
6;708,934204101563;532,443045043945;318,5913;16,71484;14;376,3428;False
7;762,464477539063;518,156488037109;372,1216;22,15814;14;376,3428;False
8;790,339599609375;531,855018615723;399,9968;24,18073;14;376,3428;False
9;795,303955078125;560,96604309082;374,5399;24,31271;14;406,764;False
10;859,188232421875;595,609202575684;460,2356;28,06339;14;384,9527;False
11;933,763671875;598,424673461914;547;23,04883;14;372,7637;True
12;877,375366210938;629,126574707031;463,1331;22,435;14;400,2423;False
13;933,501586914063;693,134600830078;547;24,25415;14;372,5016;True
14;853,362121582031;656,726705932617;461,6645;21,60126;14;377,6976;False
15;851,168334960938;628,042752075195;465,1079;27,80499;14;372,0604;False
16;788,140869140625;590,393783569336;377,9945;20,75317;14;396,1464;False
17;926,152709960938;632,404179382324;529,4221;26,56335;14;382,7306;False
18;792,683959960938;627,782540893555;378,1815;17,91125;14;400,5025;False
19;948,007690429688;697,256666564941;547;20,40625;14;387,0077;True
20;948,007690429688;675,785307312012;547;21,42731;14;387,0077;True
21;948,612609863281;680,650856018066;547;24,81842;14;387,6126;True
22;929,284973144531;730,600985717773;527,6724;24,8302;14;387,6126;False
23;946,809448242188;669,824897766113;547;25,45068;14;385,8094;True
24;937,929992675781;687,049159240723;531,9161;25,05811;14;392,0139;False
25;902,963623046875;706,280331420898;496,9497;25,58887;14;392,0139;False
26;809,628479003906;620,353460693359;406,0373;20,64209;14;389,5912;False
27;930,678161621094;719,394479370117;526,8075;26,7688;14;389,8707;False
28;863,410583496094;669,593962097168;459,8194;23,11108;14;389,5912;False
29;949,043212890625;658,75756072998;547;20,61951;14;388,0432;True
30;950,958740234375;675,92992401123;547;27,73596;14;389,9587;True
