Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;25956036608;3768929156,425;26,01206;9;13;337,2585;False
2;235056594944;34738013220,8;65,83575;17,40202;12;378,5149;False
3;215944593408;48244324854,4;63,14443;10,57981;12;378,3474;False
4;508307308544;114261020546,6;96,87843;13,25439;12;378,3474;False
5;363051909120;97890711593,6;81,55854;13,68637;13;379,3237;False
6;485551177728;113632600884,8;94,43734;14,5148;12;379,0087;False
7;364901072896;108659805982,4;81,35098;12,08054;12;380,6126;False
8;503130193920;174284466585,6;95,4613;21,39919;12;380,781;False
9;654233305088;235161843179,2;108,4849;15,13977;13;381,6495;False
10;355633037312;120506235638,4;80,45777;18,16016;12;380,1503;False
11;575201476608;124847188278,4;103,0996;14,84647;12;378,241;False
12;511632703488;147849946566,4;97,45628;19,03357;12;377,6703;False
13;367269576704;189859516787,2;82,53364;13,08826;12;377,7818;False
14;528261840896;162262372710,4;97,38232;16,77042;13;381,9117;False
15;559239397376;163678000281,6;101,0877;18,46536;12;379,6649;False
16;680504524800;184590044044,8;112,6767;12,10333;12;377,0402;False
17;456488910848;172819615177,6;91,52052;14,09308;12;379,1384;False
18;343117398016;102148092281,6;79,89869;22,43201;12;377,3878;False
19;647088963584;179251989587,2;109,5197;24,39923;12;377,8561;False
20;495260270592;193592151424;95,84969;13,0459;12;377,7612;False
21;631217848320;159350218137,6;109,5937;20,672;12;374,5727;False
22;463782543360;174730541257,6;93,49357;20,60602;11;375,7656;False
23;807093272576;212791963200;123,335;22,49554;11;375,7656;False
24;855944462336;242544845926,4;126,2989;16,16907;12;377,1802;False
25;465854922752;183692740812,8;94,14579;14,09851;11;374,5844;False
26;495223832576;228440427929,6;96,2672;19,73486;11;376,6589;False
27;497813454848;147925667430,4;97,64381;18,30341;11;373,7596;False
28;793078136832;131465678251,2;122,4885;21,83112;11;375,297;False
29;642572943360;227334039142,4;110,0936;21,93835;11;375,6639;False
30;330481991680;133396395545,6;79,06992;11,11719;11;375,297;False
31;355661053952;232645150720;82,02676;14,89221;11;375,297;False
32;549095931904;192426460620,8;101,7599;18,10461;11;375,6918;False
33;370786009088;191255106688,8;83,82916;17,0719;11;375,0689;False
34;638158241792;222006510119,2;109,7953;13,13147;10;375,4802;False
35;253986045952;131659792521,6;69,42757;15,35266;10;374,8999;False
36;329461301248;155471390760;79,07318;11,29858;10;374,8999;False
37;359227555840;143439127648;82,93262;18,67041;10;373,8003;False
38;335041265664;133844651843,2;79,53467;18,71729;10;375,5448;False
39;632320688128;178113942528;109,2637;19,07776;10;375,5448;False
40;349252976640;181967559254,4;80,2408;9,097412;11;378,5442;False
41;422006161408;178563572262,4;88,20831;16,40002;11;378,5297;False
42;642143485952;245735478316,8;109,5717;17,17334;11;376,7718;False
43;702449713152;202965925414,4;114,2337;19,47571;12;377,58;False
44;354244263936;169155577369,6;81,05766;17,29102;11;377,7794;False
45;484649304064;165012842926,4;92,90778;13,15466;13;382,9198;False
46;735023333376;181368188747,936;116,2801;20,81519;11;378,8175;False
47;654756151296;170274860419,2;109,1667;12,13416;12;380,16;False
48;484448468992;156866129235,2;93,99419;16,63391;12;379,911;False
49;360735309824;177209323288;80,93665;16,12024;11;380,4516;False
