Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1,20487737609421E+15;76085876796588,9;317,0731;23,06679;13;335,5997;False
2;3,07159337481011E+15;834795741739770;432,4142;23,51856;13;336,1667;False
3;4,68524667922022E+15;906592020533188;497,9331;27,31428;13;336,052;False
4;6,20993107827098E+15;1,47497555402424E+15;547;20,34119;13;336,0276;True
5;2,5103815409664E+15;1,00308246320906E+15;404,4563;24,21603;13;336,0276;False
6;5,66345769313894E+15;1,07063366728593E+15;547;21,24417;14;325,8666;True
7;5,6597065760768E+15;1,80531158780477E+15;547;20,44791;14;325,7947;True
8;6,00265166159872E+15;1,51464969455698E+15;529,7365;25,95374;13;343,074;False
9;7,29515334985318E+15;2,00141735606682E+15;547;22,22012;14;354,5609;True
10;6,99051185641882E+15;2,75835827497206E+15;547;21,04599;13;349,5551;True
11;6,96099523054797E+15;2,72848814572831E+15;547;26,1188;13;349,0624;True
12;6,2150592692224E+15;2,02712869527716E+15;526,5839;23,51746;13;349,1517;False
13;7,10348613930189E+15;1,83641313046788E+15;547;25,23523;13;351,4281;True
14;6,31188554881434E+15;2,06230566197002E+15;525,8758;22,16785;13;351,4281;False
15;4,43665128777318E+15;1,57830987044618E+15;467,1462;28,60852;13;351,7485;False
16;7,15253359208038E+15;1,35647815860142E+15;547;25,25134;13;352,2351;True
17;7,20095612711731E+15;1,35980382798479E+15;547;21,70911;13;353,0282;True
18;7,14596175524659E+15;2,21963760067543E+15;547;23,2301;13;352,1272;True
19;7,19069383963443E+15;2,05100742166446E+15;547;27,64728;13;352,8604;True
