Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;14991806;1663985,57257668;246,5763;18,36005;10;397,22;False
2;80403768;10464897,8555777;431,6106;19,47897;11;404,9447;False
3;119930112;21117616,4492745;493,1466;23,94887;11;403,9628;False
4;163667328;45841661,6953857;547;21,60892;12;405,8152;True
5;163667328;40363882,809375;547;24,68187;11;403,1983;True
6;163667328;48820018,2001259;547;20,70253;11;403,1983;True
7;163667328;50044245,9136795;547;19,94215;11;401,665;True
8;163667328;65451564,0625;547;20,57504;11;403,6756;True
9;163667328;52016846,8169922;547;21,67877;10;404,001;True
10;163667328;50129443,9500108;547;22,10034;11;405,5793;True
11;163667328;46843178,85;547;22,02185;10;404,3726;True
12;163667328;78474687,628125;547;20,42114;11;401,6476;True
13;163667328;50742466,0753328;547;23,50616;11;405,9395;True
14;163667328;58638168,175;547;19,81812;10;401,7425;True
15;163667328;77638767,6151709;547;20,7243;10;401,7425;True
16;163667328;47468703,0025579;547;20,57739;11;406,2097;True
17;163667328;51342332,8913718;547;20,06055;11;406,3613;True
18;163667328;56375833,8861952;547;20,82288;10;401,7255;True
19;223756768;74218141,6266846;607,0979;24,18951;11;407,1313;False
20;163667328;56580233,375;547;21,05432;10;401,7038;True
21;163667328;62918933,9962891;547;23,28247;11;407,0731;True
22;163667328;70859967,05;547;19,89227;12;408,1399;True
23;163667328;66174088,6625;547;20,9223;10;404,6765;True
24;163667328;57111502,8375;547;23,26593;12;408,1953;True
25;120684376;47709282,3389526;494,1783;21,60205;11;404,2576;False
26;225447168;44576732,9125;608,6229;26,55225;11;404,2576;False
27;163667328;61483600,703125;547;20,29297;13;411,3322;True
28;163667328;53701619,2625923;547;21,30408;12;407,6798;True
29;163667328;62068976,2266541;547;23,37805;10;404,0299;True
30;185897424;55112942,2042268;570,7218;24,28918;10;404,0299;False
