Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;14689483;1652007,75767512;244,9075;20,34557;12;399,5965;False
2;53149664;13167585,3680575;375,9818;21,64867;12;400,2025;False
3;64931272;18745245,9055479;401,9308;25,78847;12;399,5965;False
4;148439104;41594575,4753906;529,4799;25,45538;12;398,9941;False
5;66441180;24867646,175;405,0225;21,00536;12;399,5965;False
6;122603344;33517153,475;496,7838;23,70242;12;399,1183;False
7;147878784;50594275,475;528,8128;23,50842;12;399,1183;False
