Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;183858,515625;128658,22265625;0;0;13;428,7873;False
2;185004,46875;135525,175390625;34,04356;10,39668;13;428,7721;False
3;184619,34375;152626,490625;5,45188;3,611176;13;429,6389;False
4;185352,171875;162072,9859375;4,574829;5,452454;13;430,5012;False
5;195089,53125;169443,169921875;7,032367;2,661148;13;441,6334;False
6;198471,890625;180351,249609375;0,04894376;5,600449;13;445,5018;False
7;199097,171875;187868,384375;0;0;13;446,2031;False
8;213756,265625;191762,421875;0,01735806;3,903351;13;462,3378;False
9;213794,609375;198328,4890625;6,192554;4,663666;13;462,3378;False
10;214485,078125;204317,3609375;0;0;13;463,1253;False
11;216273,03125;205571,5515625;0;0;13;465,0516;False
12;217520,71875;207088,828125;2,655233;5,472229;13;466,3836;False
13;220026,640625;209745,4359375;0,02378273;5,067078;13;469,07;False
14;220026,640625;209847,68203125;0,02597606;5,649689;13;469,07;False
15;228785,171875;209622,48359375;21,56693;8,187683;13;477,8285;False
16;228672,5;209606,8828125;18,77403;7,500854;13;477,8285;False
17;228336,96875;213262,75234375;4,114749;3,984375;13;477,8285;False
18;229983,40625;215542,825;7,103537;5,580566;13;479,5132;False
19;229961,515625;216408,52421875;5,343844;5,068237;13;479,5132;False
20;231276,96875;224267,840625;19,72998;8,543579;13;480,5078;False
21;232885;224639,5578125;32,81574;12,35907;13;481,4646;False
22;232546,421875;226338,93671875;50,91503;12,87341;13;479,5353;False
23;233316,71875;228327,98515625;4,602286;4,032654;14;483,0068;False
