Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;45284576;29303826,4;0,3930409;1,31188;10;356,4375;False
2;67264912;35902506,95;106,1541;15,31813;13;406,6893;False
3;69643408;45750146,8;0;0;9;411,4275;False
4;69643408;49729557,3;0;0;9;411,4275;False
5;71609096;54197071;0;0;10;415,2625;False
6;71609096;57961180,4;0;0;10;415,2625;False
7;92171960;58453771,2;0;0;11;451,7168;False
8;92171960;64892471,8;0;0;11;451,7168;False
9;94972056;66756860,6;0,186943;5,230835;12;456,2455;False
10;95181856;66065987,8;0,1908847;5,225708;12;456,5812;False
11;95181856;72779437;0,1633717;5,031494;12;456,5812;False
12;120551784;80636522,2;83,02206;10,34293;12;493,9972;False
