Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;19947,169921875;5489,56502658175;923,6311;42,76769;11;284,614;False
2;22973,5;11184,2490221515;1071,621;49,98678;11;284,614;False
3;22933,33203125;13720,8165527344;938,8911;38,43822;11;284,614;False
4;21912,0390625;13815,3147884252;933,4842;39,76776;11;284,614;False
5;22306,064453125;9719,20648143296;933,1483;39,03717;11;284,614;False
6;24093,451171875;16610,1588775635;1072,996;47,78564;11;284,614;False
7;24346,443359375;18500,3230552644;909,09;33,94519;11;284,0704;False
8;24910,681640625;19434,5251464844;1069,93;45,95416;11;284,0704;False
9;23802,705078125;19207,1613981009;1093,229;50,21063;11;269,9106;False
10;24351,6875;19923,7280273438;935,3956;35,93036;11;286,6916;False
11;23972,392578125;19128,501507771;911,7691;34,67834;11;285,5731;False
12;22964,876953125;12611,6900546364;924,0533;37,18176;11;286,7102;False
13;23084,775390625;16409,9032606125;930,1219;37,47607;11;290,8062;False
14;24258,48828125;20069,5314941406;1205,168;59,87305;11;288,4981;False
15;23621,978515625;18520,4344118476;940,6123;37,45459;10;287,3501;False
16;22906,84375;17332,1192853868;1071,696;50,13928;11;286,4575;False
17;23179,9921875;18246,7009185553;1075,734;49,92249;11;286,6372;False
18;22985,951171875;18908,2194335937;917,0355;36,58557;11;286,6372;False
19;23584,736328125;18253,7666015625;926,1562;36,36951;11;285,6777;False
20;25262,587890625;20664,732421875;1207,071;57,67505;11;285,579;False
21;24107,80078125;17451,2118223071;925,335;35,51733;11;285,579;False
22;25524,453125;17848,4821911335;909,0231;32,37378;11;285,579;False
