Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;288330784;39586453,0379589;63,64706;17,79811;13;312,7169;False
2;312125216;86902159,088494;56,46764;11,30373;14;347,0179;False
3;827644544;118297603,976428;79,08037;16,39852;14;347,0355;False
4;2347337216;317831202,483374;115,4261;26,32132;14;348,0704;False
5;539257536;98926104,7774632;70,37533;15,77692;14;346,846;False
6;1351754240;290422019,213974;98,93648;24,58469;14;346,846;False
7;892158144;251239618,792969;90,93563;26,61203;14;347,203;False
8;2268135936;335217195,359424;98,43134;14,33472;14;346,3576;False
9;496791616;122401499,514453;63,07296;11,19128;14;351,3026;False
10;776594240;130723225,962292;82,46339;20,58078;14;345,6298;False
11;1800578816;275291450,812793;98,12717;18,00003;14;349,5652;False
12;1679958528;309045395,031961;96,1516;17,57031;14;345,3441;False
13;3242604288;645910905,381505;115,0621;18,66754;14;345,3441;False
14;1525723008;451167968,188281;97,30518;20,28668;14;345,2574;False
15;1833116672;218326994,808984;98,24956;17,61023;14;346,4437;False
16;1872649088;351295626,265533;96,06507;15,80438;14;347,5137;False
17;1617835520;306521072,0224;94,6869;17,26721;14;347,5337;False
18;1608026240;389357647,226563;95,46017;17,95911;14;347,7676;False
19;1697367680;488534563,2;94,23978;16,10858;14;346,654;False
20;1721977088;348702105,5;96,19759;17,28229;14;347,5137;False
21;4071220224;794551521,434375;125,2627;21;14;347,2614;False
22;1943842176;398826746,8875;94,39042;14,17114;14;347,0198;False
23;2042731136;388854825,482227;109,4797;24,61987;14;350,0757;False
24;2994564352;375576831,221875;110,0232;17,11255;14;349,7121;False
25;3751888640;423076335,535529;124,4312;22,07031;14;345,4155;False
26;1160971520;253002878,38125;82,7977;14,17175;14;350,0838;False
27;1113983104;310565833,665847;88,08815;18,57446;14;343,6568;False
28;1604030720;252286520,435838;94,67537;17,17432;14;342,8815;False
29;1016106816;183586375,746875;80,54131;14,19971;14;342,8815;False
30;1025667392;200592694,269824;82,72676;15,65747;14;342,8815;False
31;1674048768;448200402,203516;94,01431;16,00024;14;342,8617;False
32;3195782912;327074526,860809;114,6566;18,6355;14;344,6059;False
33;3291016704;335217406,974414;110,8401;15,92065;14;347,1385;False
34;1907109888;353123249,162012;96,26939;15,59448;14;346,2531;False
35;1358815616;274821274,589258;84,13448;12,74353;13;345,5846;False
36;2010599936;383793478,327966;95,5396;14,43237;14;348,281;False
37;2683922688;405271337,763686;113,8887;21,6228;14;344,9528;False
